,loc_name,loc_rating,total_rating,latitude,longitude,query
0,Alpha Books,4.4,8.0,31.3992576,74.2681179,'book store'
1,Rehman Electric Store,4.5,4.0,31.48542,74.4168953,'electronics store'
2,Dollar Store,4.2,25.0,31.4718807,74.3563559,'store'
3,Alpha Hardware,4.3,81.0,31.493597,74.3762479,'hardware store'
4,shag beauty saloon,5.0,58.0,31.4707671,74.3422911,'beauty salon'
5,Bismillah Laundry,5.0,1.0,31.4939208,74.3564763,'laundry'
6,Q Store,4.6,14.0,31.5346565,74.4214706,'electronics store'
7,Judicial Complex Pattoki,4.7,3.0,31.0688152,73.8721089,'courthouse'
8,HBL ATM COMSATS Lahore,2.8,9.0,31.4009543,74.2135383,'atm'
9,LUXURY MARKETING,4.3,26.0,31.3178603,74.4001875,'real estate agency'
10,Jungle Cafeteria,3.8,85.0,31.5553537,74.3263567,'zoo'
11,AHMAD MODEL HIGH SCHOOL,,,31.5177593,74.1473151,'secondary school'
12,Bismillha mobile center,1.0,1.0,31.3490842,74.376742,'home goods store'
13,Total Petrol Station,3.6,34.0,31.3284057,74.1486383,'gas station'
14,Opulence Salon & Studio,4.9,37.0,31.4701378,74.2601092,'hair care'
15,Meal 4 You,3.8,4.0,31.5134252,74.3575615,'meal delivery'
16,Pak Qurtuba Travels (Pvt) Ltd.,4.4,20.0,31.4935322,74.2625913,'travel agency'
17,First Pharmacy Bahria Town Lahore,4.0,10.0,31.370092,74.1858138,'drugstore'
18,inDriver Registration Lahore Office,4.5,17.0,31.566843,74.3269331,'local government office'
19,Yummy Cricket Team Ground,4.8,6.0,31.4305153,74.3197962,'night club'
20,Inayat High School,5.0,1.0,31.6105901,74.2548465,'school'
21,Healing hands physiotherapy center,1.0,1.0,31.434946,74.2687133,'physiotherapist'
22,Al-Nazir Departmental Store,4.0,89.0,31.4447098,74.2863256,'department store'
23,Bhai Bhai Sarvis Astation,4.0,4.0,31.5430161,74.1650792,'car wash'
24,Ghosia Pharmacy,4.2,5.0,31.4300752,74.2808685,'pharmacy'
25,Adil chapal house,,,31.2543756,74.2237776,'home goods store'
26,Prince Snooker Club,4.8,10.0,31.3838804,74.1487356,'city hall'
27,Abdullah Electronics,,,31.3918066,74.1507184,'electronics store'
28,Physiques Fitness Gym,4.7,32.0,31.4337482,74.2666052,'gym'
29,MCB Bank - Bahria Town,3.2,37.0,31.3710646,74.1867498,'bank'
30,Pakistan Lifestyle Furniture Expo,4.6,27.0,31.2905807,74.1730727,'furniture store'
31,Professional Electronics,,,31.4017399,74.2594796,'electronics store'
32,State Life Insurance Model Town,,,31.4928646,74.3279534,'insurance agency'
33,Makkah jenral store,5.0,2.0,31.5634247,74.3908742,'supermarket'
34,مدینہ پنسار سٹور,4.0,1.0,31.4038761,74.1590067,'convenience store'
35,Dr. Shahzad Mirza,5.0,1.0,31.4729759,74.259365,'dentist'
36,KHAN BABA GENERAL STORE,4.4,12.0,31.4840347,74.2398868,'department store'
37,Jamia Mosque AbuBakar Ghaznavi,4.7,45.0,31.4394426,74.2606881,'mosque'
38,Allied Bank Limited ATM,3.9,8.0,31.4679342,74.3054147,'atm'
39,Data international rent a car,5.0,2.0,31.5203696,74.3587473,'car rental'
40,Hascol Petrol Pump,4.0,189.0,31.4788729,74.300803,'gas station'
41,State Life Insurance Services,4.3,3.0,31.3716875,74.1829375,'insurance agency'
42,Punjab Land Development Company,4.2,11.0,31.5507251,74.3396392,'local government office'
43,Lock master Awais,3.0,2.0,31.4825046,74.3308402,'locksmith'
44,Oxford public school,5.0,1.0,31.4249728,74.3631027,'school'
45,Laxmi pal,,,31.3863752,75.3766426,'synagogue'
46,MUH Model High School,4.0,1.0,31.4043125,74.4926875,'secondary school'
47,MUGHAL BROTHERS,,,31.3526184,74.3726418,'liquor store'
48,Fitnest Health Club,4.7,126.0,31.4694452,74.2723967,'gym'
49,Bombay Hardware Store,3.9,32.0,31.5653191,74.3225941,'hardware store'
50,Theme Park View Society,4.1,119.0,31.4188695,74.1510058,'park'
51,FOOD COURT,4.7,45.0,31.5627831,74.2823497,'restaurant'
52,M.Tahir Shafiq,4.0,2.0,31.544271,74.157606,'home goods store'
53,MA Grammar School System,3.8,6.0,31.4814577,74.3306302,'school'
54,AUTOMAX Pakistan,4.4,7.0,31.4530947,74.2677481,'car dealer'
55,Relax Spa,4.9,69.0,31.5625912,74.3129613,'spa'
56,امجد ھنڈا سروس,4.0,1.0,31.2477969,74.0078871,'car repair'
57,National Bank of Pakistan,1.6,5.0,31.5353242,74.2777548,'bank'
58,Bank Alfalah Islamic,4.6,5.0,31.4638848,74.1029207,'bank'
59,ALLAH badsha general store,4.0,1.0,31.265733,74.1263318,'supermarket'
60,Special Education School,4.4,18.0,31.4964578,74.321904,'local government office'
61,Indus Hospital,3.3,76.0,31.5173112,74.2664727,'hospital'
62,Pattoki Railway Station,3.9,151.0,31.0191779,73.8538736,'transit station'
63,knowledge books,,,31.6166787,74.2670834,'book store'
64,Pakistan General Store,4.8,6.0,31.4941515,74.258753,'supermarket'
65,State Life Office,4.8,5.0,31.5252263,74.2840041,'insurance agency'
66,Himalayan Decor International Shop,5.0,2.0,31.4148153,74.2553013,'home goods store'
67,Ghaznavi Block Park,4.2,226.0,31.3524318,74.1752648,'park'
68,The Conquerors School & Academy,,,31.3399509,74.2526797,'school'
69,Shaheen Call Point,,,31.2135899,73.9540546,'insurance agency'
70,MUGHAL ELECTRIC &HARDWARE STORE,1.0,1.0,31.414262,74.2262843,'hardware store'
71,Hanif Jewellers,4.3,541.0,31.5093232,74.3506166,'jewelry store'
72,KK Pharmacy & Super Store,4.5,11.0,31.6259798,74.3049235,'drugstore'
73,Rana Gaming Club,,,31.5892385,73.8168111,'night club'
74,Doctor Colour Nippon Paint Franchise,4.9,73.0,31.4466836,74.2694591,'painter'
75,Institute of Law University of Lahore,3.7,3.0,31.4678164,74.2950507,'university'
76,Dogar Rent A Car,4.7,6.0,31.522166,74.261949,'car rental'
77,Mhar Haroon jarmal and kriana stoor,3.7,15.0,31.2536901,74.1824974,'supermarket'
78,Horse Roundabouts M block Al Rehman garden,,,31.5903103,74.2263663,'tourist attraction'
79,Mobile Sale Purchase,5.0,1.0,31.7166617,73.9850243,'rv park'
80,Sehrish Pets Clinic and Pets Mart,4.1,27.0,31.4624464,74.2756043,'veterinary care'
81,Shri Hunuma Mandir,4.0,2.0,31.6274044,74.7941745,'hindu temple'
82,Dareechay Store Bahria Town,4.5,28.0,31.3904437,74.169135,'home goods store'
83,Govt Primary School,4.0,2.0,31.1722653,74.4474591,'primary school'
84,Bazuka Park,5.0,1.0,31.4713791,74.2889685,'park'
85,Bank Al Habib Limited,3.0,2.0,31.479405,74.3141834,'bank'
86,Mubeen studio,5.0,1.0,31.1604756,74.2746424,'movie theater'
87,Qadri Associates,5.0,10.0,31.4088158,74.141845,'local government office'
88,Madni Mosque,,,31.5987418,74.3961047,'mosque'
89,A Block Public Park,4.5,2.0,31.4025214,74.1676417,'park'
90,Akram Gondal Law Associates,4.6,15.0,31.5626468,74.3117141,'lawyer'
91,پارک Park,,,31.4730557,74.3203355,'park'
92,My Business,5.0,1.0,31.512412,74.2844714,'casino'
93,The Lahore School,5.0,4.0,31.4088143,74.1452962,'movie theater'
94,Ch Steel & Cement,,,31.4130236,74.4252492,'storage'
95,AL Qaim FALSE CEILING AND DECORATERS,5.0,4.0,31.4343444,74.342452,'roofing contractor'
96,Dhobi Baba,5.0,1.0,31.4398103,74.2640116,'laundry'
97,Malik Furniture Point,,,31.5375625,74.2713125,'furniture store'
98,Branded Wear,4.1,180.0,31.4340157,74.2578471,'clothing store'
99,فاونڈیشن فار ینگ ریسرچرز,,,31.4083256,74.2615805,'local government office'
100,NABILA Lahore,4.3,545.0,31.5249698,74.3555734,'hair care'
101,Dera Ch Haji Muhammad sarwar jutt,,,31.3096147,74.4059835,'storage'
102,Forza School,5.0,2.0,31.4317104,74.2721302,'school'
103,MUZZMART,,,31.5619624,74.400398,'department store'
104,Kashif Hardware & Sanitary,5.0,1.0,31.415087,74.2880333,'hardware store'
105,Waterproofing & Heat Proofing Service all over the Pakistan |Qaswa Chemicals.com,5.0,14.0,31.469527,74.234951,'roofing contractor'
106,New Prince Hair Salon,4.8,85.0,31.454842,74.3656726,'hair care'
107,Cloth Washing Dhobi ghat,4.7,3.0,31.5715864,74.3778384,'laundry'
108,Gospel Teaching Fervent Church,,,31.3737261,74.3475197,'church'
109,St. John's Sacred Heart High School,,,31.4688707,74.3381732,'school'
110,Universal Pets Clinic,5.0,29.0,31.3749105,74.1739601,'veterinary care'
111,Moeen Rent A Car,5.0,2.0,31.4763515,74.3099879,'car rental'
112,Le Sole Shoes,5.0,1.0,31.403062,74.3604745,'shoe store'
113,Muridke Railway Station,4.2,39.0,31.8009356,74.2591982,'train station'
114,IQTM Masjid,5.0,1.0,31.49605,74.3013461,'mosque'
115,Ghazali Schools,5.0,1.0,31.4142134,74.4385681,'primary school'
116,Ahsan Legal Services - ALS,5.0,24.0,31.5105362,74.3437426,'lawyer'
117,Al Kareem Restaurant,4.6,14.0,31.4649812,74.3145004,'restaurant'
118,Tariq General Store,5.0,4.0,31.4246115,74.3697756,'store'
119,Vicky Video Vision,,,31.326632,75.590378,'movie rental'
120,Atta UL Haq Khan Library عطاء الحق خان لائبریری,4.8,4.0,31.5680189,74.2956821,'library'
121,Shiv Temple,,,31.2383194,74.5471568,'hindu temple'
122,Q Ball snooker club,4.0,4.0,31.4220614,74.1949499,'night club'
123,Yasir Auto,5.0,1.0,31.4625515,74.1025934,'car repair'
124,Govt Community High School Mozang Lahore,3.8,8.0,31.5587937,74.3123222,'secondary school'
125,Sultan Centre,5.0,1.0,31.3759247,74.1849586,'shopping mall'
126,Ghulam mustafa kariana store,5.0,2.0,31.530255,74.1190328,'shopping mall'
127,Punjab Medical Store,3.9,29.0,31.3832635,74.1686936,'drugstore'
128,Church of Halloki,5.0,1.0,31.3710188,74.2840523,'church'
129,Gul khan,,,31.5170041,74.2711619,'zoo'
130,Smile Care Dentistry,4.9,13.0,31.4247764,74.2838534,'dentist'
131,SGS Sherazi Gem Stones,5.0,2.0,31.5483887,74.4060827,'jewelry store'
132,Kashif,,,31.4353948,74.2692569,'secondary school'
133,Vestes,4.5,16.0,31.4278879,74.3016613,'clothing store'
134,Grain Store,3.8,9.0,31.4397495,74.2819672,'store'
135,Fahad Super Store,5.0,3.0,31.4708312,74.3242872,'supermarket'
136,Medex One Physiotherapy Clinic,,,31.5191218,74.4560944,'physiotherapist'
137,The Bank of Punjab,3.9,24.0,31.5653244,74.3928085,'bank'
138,Stop & Shop Mart,4.6,60.0,31.4044438,74.1907629,'store'
139,Govt Primary School (Boys),,,31.2041972,74.0331322,'primary school'
140,Lahore Ring Road Traffic Police Office Eden Lane Villas,5.0,3.0,31.3807081,74.2531406,'police'
141,DHAN GURU HARGOBIND SAHIB JI,5.0,1.0,31.1466478,74.5568078,'museum'
142,Govt Primary School Haveli Aslam Wali Watna,5.0,3.0,31.2833724,74.2754752,'primary school'
143,Qadri store ayub road,,,31.4634818,74.3378668,'home goods store'
144,National Bank,,,31.5243575,74.3467187,'bank'
145,Rashid electric store,5.0,7.0,31.6297315,74.2739327,'electrician'
146,Usman & Company,,,31.4967474,74.3675605,'accounting'
147,Shumaila’s Beauty London - Lahore Branch,4.6,657.0,31.5184005,74.3495366,'beauty salon'
148,Sher-e-Rabani Dry Cleaners,,,31.4381498,74.0358944,'laundry'
149,Al-Madina Karyana Store,,,31.2573462,74.2366657,'store'
150,Dera Athar Hussain Awan Phangali,5.0,9.0,31.4880051,74.4749006,'museum'
151,Eat at Cafe Restaurant,2.8,5.0,31.4524304,74.2933589,'restaurant'
152,Christian Evangelical Church,,,31.441977,74.3680181,'church'
153,Pak Electric,5.0,4.0,31.4490578,74.2765817,'electrician'
154,Etihad construction associates,5.0,3.0,31.2850987,74.1691481,'roofing contractor'
155,Saint Anthony School,4.0,24.0,31.4801268,74.3012144,'school'
156,Gift palace Aquariums,5.0,2.0,31.5492184,74.302711,'aquarium'
157,Madni Medical & General Store,4.4,193.0,31.482025,74.369381,'liquor store'
158,Ali herbs,,,31.4413894,74.3458566,'storage'
159,Utility Store of Champian Corp.,4.2,21.0,31.4618484,74.3207519,'store'
160,Moter bikes parts,,,31.5850525,74.3748903,'insurance agency'
161,Zulfi Electronics,4.3,4.0,31.3362223,74.2362216,'electronics store'
162,Shoukat Ali Electrician and AC services,5.0,6.0,31.520759,74.2698365,'electrician'
163,Govt Girls Primary School Haveli Janjatay EMIS 35220425,,,31.363354,74.245578,'primary school'
164,Mandawali - West Vinod Nagar,4.4,88.0,28.624877,77.304372,'subway station'
165,Eisha's Beauty Salon & training Center,4.6,10.0,31.4328758,74.3531601,'beauty salon'
166,Shell,5.0,2.0,31.4470926,74.239136,'gas station'
167,Farkhabad Family Park,4.2,499.0,31.6087981,74.2884457,'park'
168,Numan book shop,4.0,1.0,31.3939147,74.1755616,'book store'
169,Jimmy's Snooker Lounge,4.4,175.0,31.3684467,74.1874299,'bowling alley'
170,Brother’s Motors,4.0,1.0,31.369327,74.1640017,'car dealer'
171,MASHALLAH MOTORS,,,31.2831477,74.0579929,'car dealer'
172,Amjad Hassan jewelers,,,31.2528472,74.4318219,'jewelry store'
173,Farani Taylor & CO,3.2,100.0,31.469077,74.317928,'lawyer'
174,Dr Iffat Clinic,,,31.4681849,74.2805809,'doctor'
175,Bike Parking,4.8,4.0,31.5791789,74.3181921,'parking'
176,Azan Javed Rent A Car,5.0,2.0,31.4523707,74.3622499,'insurance agency'
177,NK Salon,4.6,11.0,31.2494136,74.2185601,'hair care'
178,Govt Girls Elementary School,3.0,2.0,31.2459443,74.0116089,'school'
179,Osama Maternity Clinic,5.0,6.0,31.503377,74.2605746,'doctor'
180,Sun Star Departmental Store,4.0,245.0,31.4759498,74.3066512,'store'
181,Asad Karyana Store,3.8,10.0,31.5852655,74.4043581,'store'
182,Harry Fest Film City,4.8,4.0,29.5131814,75.4509532,'movie rental'
183,Options - Coffee & More,4.4,517.0,31.4999059,74.3179785,'cafe'
184,Lasani Movers Cargo & Container Services,3.5,14.0,31.546596,74.2671989,'moving company'
185,Waqar Real Estate,4.5,2.0,31.3789462,74.3694621,'real estate agency'
186,Alyaas Shutring Store,4.0,3.0,31.423022,74.362434,'store'
187,ARSHAD SHOES COMPANY,5.0,1.0,31.5798987,74.3178806,'shoe store'
188,MADINA ELECTRONICS,,,31.4100207,74.2222384,'electronics store'
189,Snowwhite dry cleaners and steam laundry,,,31.445324,74.2763952,'laundry'
190,Islam Nagar graveyard اسلام نگر قبرستان,5.0,1.0,31.3605295,74.1483559,'cemetery'
191,Rahmet masjid,5.0,1.0,31.4661596,74.2406662,'mosque'
192,Temprasco art gallery,5.0,7.0,31.4799469,74.3234378,'art gallery'
193,PAK KHILJI GOODS TRANSPORT COMPANY,4.5,8.0,31.3733125,74.1876875,'moving company'
194,M Aslam paint polish Rockwell thekedar,,,31.372765,74.1907458,'painter'
195,Govt. Elementary School Dhana Kumharan,5.0,2.0,31.3080907,74.0182246,'primary school'
196,Maaz Punjab Filling Station (PSO),4.9,9.0,31.2623417,74.2668732,'gas station'
197,GI Furniture,5.0,20.0,31.5463685,74.3769625,'furniture store'
198,HBL Car Parking,,,31.5307216,74.3513402,'parking'
199,Bhatti Filling Station,4.3,7.0,31.2859271,74.3120367,'gas station'
200,Rehman electronics,3.8,4.0,31.4333331,74.2989962,'electronics store'
201,THE PARAGON SCHOOL,,,31.339228,74.233804,'school'
202,بسم اللّٰہ کریانہ مرچنٹ سٹور,,,31.3152267,74.0887733,'bakery'
203,Bata Shoes,4.0,82.0,31.5201512,74.3208472,'shoe store'
204,Mughal warehouse,,,31.6134819,74.2582943,'storage'
205,Fire Station,4.0,1.0,31.4680499,74.3067705,'fire station'
206,Isma super Store,5.0,2.0,31.4626759,74.3468615,'supermarket'
207,Jamia masjid chistiya pahtay wali,,,31.4266905,74.3646016,'zoo'
208,Barkat Bakers,4.1,584.0,31.5682855,74.3810675,'bakery'
209,Jinnah Hospital Emergency,3.8,49.0,31.4839607,74.2977639,'hospital'
210,Madina Masjid,4.6,103.0,31.4612211,74.2682088,'mosque'
211,اسحاق سٹی سنٹر,5.0,2.0,31.4613472,74.1018461,'shopping mall'
212,Sprouts University Admissions,4.9,16.0,31.4875957,74.2683053,'university'
213,Albadar Express Travel & Tour Operators (PVT) LTD,4.6,16.0,31.5888658,74.3200388,'travel agency'
214,Green Land Real Estate,5.0,2.0,31.3981571,74.258195,'real estate agency'
215,Rana Gulzar Pan shop,,,31.2657133,74.1263359,'supermarket'
216,Fazal Palaywood & Hardware store,4.2,17.0,31.3246114,74.3871772,'hardware store'
217,Pet Kingdom 🐈🐕🐕‍🦺🐈,5.0,3.0,31.4673554,74.3028722,'pet store'
218,lahore school of excellence,5.0,1.0,31.5316694,74.1492387,'school'
219,JS Productions Ltd,3.8,32.0,31.4516708,74.2400606,'movie rental'
220,Arfah Travel,4.2,13.0,31.5627068,74.3365283,'travel agency'
221,AHMED BAKERY,3.7,34.0,31.5245597,74.2760292,'bakery'
222,D Block Park,4.2,91.0,31.4066875,74.1633125,'park'
223,Bank Al Habib & ATM,4.1,7.0,31.4553167,74.2200983,'bank'
224,The Drakken School,4.5,13.0,31.2768722,74.4078981,'school'
225,Defence Animal Hospital,4.3,32.0,31.4848319,74.3920769,'veterinary care'
226,Unze London,3.9,369.0,31.4725499,74.3771538,'shoe store'
227,Shell,3.4,17.0,31.5205414,74.3501397,'gas station'
228,Mohsin gold jewelry shop,,,31.5719355,74.1900789,'jewelry store'
229,Foodies Valley B.B.Q Roof Top,4.3,31.0,31.4327277,74.3541713,'meal takeaway'
230,HRL WAREHOUSE,,,31.2860116,74.0610345,'storage'
231,Ilyas General Store,4.0,2.0,31.2838125,74.2873906,'supermarket'
232,Zubair Park Graveyard,,,31.5459351,74.2755517,'cemetery'
233,fire station,,,30.5830591,74.8199695,'fire station'
234,Orthopaedic Hospital & Medical Complex (OMC),3.3,69.0,31.5365896,74.3388582,'hospital'
235,Sec. Y Cemetery,,,31.478205,74.4277757,'cemetery'
236,RPO Office Sheikhupura Region,4.8,4.0,31.4329513,74.1825862,'local government office'
237,A.K book store,5.0,5.0,31.4107258,74.3634271,'book store'
238,مسجد,,,31.2279874,74.0478033,'mosque'
239,Imran irfan mayo rent a car,,,31.2480041,74.4723138,'secondary school'
240,Bahria University Lahore Campus,4.3,328.0,31.4585132,74.2886423,'university'
241,Qarshi University,4.2,28.0,31.5218915,74.3249349,'university'
242,ENGLISH WINE & BEER SHOP,,,31.6656335,74.9336386,'liquor store'
243,Doce Bakers & Sweets,4.0,372.0,31.4615601,74.2845544,'bakery'
244,Umar Hardware & Plywood store Branch # 2,,,31.4301232,74.3385442,'hardware store'
245,Medic Pharmacy,4.3,4.0,31.4321244,74.3465789,'pharmacy'
246,Hindu Temple,5.0,1.0,32.4076328,74.29468,'hindu temple'
247,Bahdur Sofa Poshish,5.0,1.0,31.452702,74.2859647,'furniture store'
248,Zarwa Beauty Parlour,4.7,103.0,31.4712753,74.2714487,'beauty salon'
249,Yasir Heomeopathic Clinic,5.0,2.0,31.524251,74.2923708,'hospital'
250,WeWash,4.3,147.0,31.4632892,74.2743453,'car wash'
251,Hajvery Goldsmith,5.0,2.0,31.5096156,74.3459037,'jewelry store'
252,Asia Sanitary Store,3.0,1.0,31.5247401,74.2817508,'home goods store'
253,Bismiallha store,,,31.5563248,74.2699904,'convenience store'
254,Nafees Food,4.0,2.0,31.4650609,74.1036243,'restaurant'
255,EGM Church,,,31.4076974,74.3680668,'church'
256,Takht-e-Lahore,5.0,1.0,31.5885708,74.3146888,'museum'
257,A&Z CAR RENTAL TOURIST,5.0,1.0,31.5589655,74.314776,'taxi stand'
258,Pakistan Post Office - Thokar Niaz Baig,3.4,18.0,31.4761982,74.2431335,'post office'
259,Govt. Pilot Secondary School Sharqpur Sharief,4.6,46.0,31.4686803,74.1043975,'school'
260,Graveyard,,,31.5531949,74.398475,'cemetery'
261,Head Office Anas Agericaltulre Insurance,5.0,4.0,31.514748,74.3404,'insurance agency'
262,Al Fatah - Wapda Town,4.3,3369.0,31.4449063,74.2732047,'liquor store'
263,Tipu Block Park,3.5,25.0,31.3388687,74.1774948,'park'
264,Car Servo,5.0,5.0,31.5496994,74.2693748,'car wash'
265,Mosque مسجد,4.0,4.0,31.5722776,74.2785272,'mosque'
266,Paint,,,31.4247291,74.2932663,'painter'
267,Car Wag,4.0,5.0,31.4414958,74.2983016,'car wash'
268,City Electronics,5.0,2.0,31.50143,74.36706,'electronics store'
269,Sir Syed School,4.3,7.0,31.4217235,74.2660171,'school'
270,Noor's Jewellery Collection,5.0,3.0,30.3593034,69.3480716,'jewelry store'
271,Hamza HKB,,,31.5000262,74.3494867,'local government office'
272,Ambiante Furniture,3.9,9.0,31.533739,74.2787322,'furniture store'
273,Shaheen Bakery,3.6,30.0,31.4086952,74.4885747,'bakery'
274,PSO Petrol Pump,4.1,454.0,31.5581752,74.3808465,'gas station'
275,Bohar Studio,,,31.158351,74.0351702,'movie theater'
276,Majha Kaleji Wala Restaurant,3.8,568.0,31.4693889,74.3321609,'restaurant'
277,Awan Shose,,,31.5979202,74.2301328,'shoe store'
278,University of Health Sciences Lahore,4.1,1038.0,31.506564,74.3097031,'university'
279,Sher rubani store madina colony chung,5.0,2.0,31.4283419,74.1735605,'electronics store'
280,KIPS School For Boys,3.6,5.0,31.4354288,74.2693045,'school'
281,Katyal Travels & Taxi Stand,3.5,2.0,31.634675,74.8657812,'taxi stand'
282,UBL ATM - Izmir Town,3.5,2.0,31.4203292,74.1855235,'atm'
283,Sakhi Awan Shopping Center Hair,3.0,2.0,31.4098032,74.4893824,'shopping mall'
284,Haq baho store,,,31.5544846,74.2718306,'store'
285,Sethi Cricket Stadium,4.8,4.0,31.2390063,74.4186552,'stadium'
286,Lahore Karahi Family Restaurant,4.2,730.0,31.5496192,74.3798262,'restaurant'
287,Imran Mughal Electrician Shop,4.9,22.0,31.5913567,74.4765631,'electrician'
288,Bank Al Habib Ltd,3.2,9.0,31.5694505,74.2835741,'bank'
289,Cafèyat,4.7,20.0,31.4516506,74.2859151,'cafe'
290,Dr Ashar Yousaf Physiotherapy clinic,4.9,22.0,31.6854286,74.0718976,'physiotherapist'
291,Anaya Baloch,4.0,1.0,31.5208445,74.2790172,'night club'
292,Govt. Primary School Chah Shaduwala,5.0,1.0,31.5969502,74.0692155,'school'
293,Taxi stand,,,32.132123,75.4720749,'taxi stand'
294,Saroba Garden Park,4.2,169.0,31.4339375,74.3549375,'park'
295,Monal Travel And Tours,4.8,13.0,31.5164369,74.3446581,'travel agency'
296,LaundryHub,4.4,18.0,31.5025019,74.3351731,'laundry'
297,Office,5.0,1.0,31.3016483,74.0686949,'storage'
298,mini super store,4.0,4.0,31.2664236,74.1235,'supermarket'
299,Mana Beauty & Spirit,4.4,53.0,31.4826824,74.2811562,'liquor store'
300,Al-Mirsab Mosque,,,31.5422834,74.4424293,'mosque'
301,Govt Primary School Jinnah Abadi Raiwind,5.0,1.0,31.2394375,74.2131875,'primary school'
302,Rukash Beauty Salon & Institute,4.1,131.0,31.516435,74.352513,'spa'
303,Ali Dry Cleaner,,,31.4322257,74.2480972,'laundry'
304,Akram General Store,,,31.2836463,74.2852874,'store'
305,Physiotherapy Clinic,5.0,1.0,31.575809,74.414173,'physiotherapist'
306,Akhuwat College University,4.6,148.0,31.26515,74.4023361,'university'
307,Sanduk Store,,,31.5018323,74.3669442,'department store'
308,BOP ATM,4.8,5.0,31.2738193,74.4040664,'atm'
309,The Smoke Time,,,31.5745326,74.4261353,'bar'
310,Sethi Hardware Store.,5.0,6.0,31.6127253,74.2630683,'hardware store'
311,Highland Marquee,4.6,126.0,31.536643,74.3926841,'museum'
312,United Restaurant,4.2,1288.0,31.5633206,74.3447883,'restaurant'
313,Punjab Autos,,,31.3094343,74.1643052,'meal takeaway'
314,Shapes Parking,3.0,1.0,31.5177891,74.3364492,'parking'
315,Ahmad Electronics Shop,4.0,1.0,31.5501983,74.422305,'electronics store'
316,Malik Auto spair part dhamka,,,31.5374248,74.1575086,'car repair'
317,Shabir General Store,,,31.3671815,74.3718862,'store'
318,Abdullah General Store,3.4,7.0,31.4173121,74.3634366,'supermarket'
319,Gurdwara Phool Nagar,,,31.2064868,73.9447967,'tourist attraction'
320,Rentkr | Rent A Car In Lahore,5.0,37.0,31.5213483,74.2849759,'car rental'
321,Braille & Audio Library CSS GCU,,,31.5742874,74.3072978,'library'
322,Bhatia Satring,5.0,13.0,32.1342603,76.2878829,'roofing contractor'
323,LGS Central Park,4.9,9.0,31.3268248,74.3782487,'school'
324,Hajveri Furniture House,,,31.5738438,74.1986318,'furniture store'
325,Emporium Mall,4.6,53086.0,31.4678169,74.2666475,'movie theater'
326,MBAA,,,31.2545615,74.4836247,'home goods store'
327,Lady Bug Zone,,,31.3834781,74.1681071,'tourist attraction'
328,Arora Lock Smiths,3.3,3.0,31.6352031,74.8762818,'locksmith'
329,Haroon's Interiors,4.1,22.0,31.4737598,74.3027216,'furniture store'
330,Govt Islamia Higher Secondary School,4.2,39.0,31.5338537,74.2884481,'secondary school'
331,Rainbow Cash & Carry,4.2,1157.0,31.3741801,74.1783217,'department store'
332,Janakpuri West,4.3,1098.0,28.62947,77.07777,'subway station'
333,NINA G - The Beauty Boutique,4.6,80.0,31.4740294,74.3767095,'beauty salon'
334,Shop line,,,31.5203906,74.3588167,'clothing store'
335,College Library,3.0,2.0,31.4804676,74.3081952,'library'
336,water & heat proofing Solution in Lahore - WellCool.pk,4.9,117.0,31.531049,74.3529158,'roofing contractor'
337,HS TRADER'S,5.0,1.0,31.5409376,74.3180882,'storage'
338,BSF museum,5.0,2.0,31.6048845,74.5742225,'museum'
339,Murree Wildlife Park,,,31.5622736,74.374525,'zoo'
340,Hafiz general store,2.3,3.0,31.630609,74.279863,'shopping mall'
341,Iceland Cold Chain,4.9,20.0,31.3807454,74.2273149,'storage'
342,Lovely Massage Center,4.9,59.0,31.4623698,74.2776258,'spa'
343,Alfalah Bank Islamic,4.1,15.0,31.480067,74.3139146,'bank'
344,Govt Primary School Chak No 19 U.C.C,5.0,6.0,31.5968625,74.0935781,'school'
345,Eesa,4.5,2.0,31.5065716,74.2682797,'storage'
346,Imam General Store,5.0,1.0,31.283884,74.2863738,'supermarket'
347,Imran Saeed & co,,,31.5292793,74.4621819,'accounting'
348,Master Seal Chemicals,5.0,2.0,31.3920038,74.2729513,'roofing contractor'
349,THE BRASSO DECOR,5.0,4.0,31.5253102,74.3470548,'home goods store'
350,Pets club and animal hospital cantt,5.0,12.0,31.550966,74.3671552,'veterinary care'
351,Imran. A.H & Co.,,,31.4311985,74.2643582,'accounting'
352,The Jerusalem Great Synagogue,4.5,481.0,31.7759706,35.2168857,'synagogue'
353,Al Raheem store,,,31.4327428,74.2103205,'store'
354,Eiffel Tower Bahria Town Lahore,4.5,16171.0,31.3563415,74.1852443,'tourist attraction'
355,Liberty Juice Corner,4.1,10.0,31.508488,74.345609,'zoo'
356,NINA G - The Beauty Boutique (Bahria Town Branch),4.0,47.0,31.3743231,74.1853609,'beauty salon'
357,Paija Shawarma Point,,,31.5522666,74.3593558,'night club'
358,ATC Mall,4.0,155.0,31.5182301,74.3522507,'shopping mall'
359,The Art Times,4.0,10.0,31.5474396,74.280263,'art gallery'
360,Target Super Store,4.3,50.0,31.5242838,74.2699093,'store'
361,HAJVAIRY PETROLEUM- Total Petrol Station,3.7,124.0,31.316579,74.2252194,'gas station'
362,Best Buy Store,4.2,107.0,31.5116678,74.3712174,'store'
363,Aftab park,3.6,9.0,31.5869765,74.3590358,'park'
